"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project ITP_ 6","7-Handover Completed","17/08/2026","16/06/2026","STC & Sub","RFQ","Sell Direct","HRO","Non Etimad","SF-2026-2224","594000","16/06/2026"
"Osayed Shadid","Misk Charity Foundation","Renewal 1335  - STCSQR - 16812 Misk Foundation","4-Submitted - Under Evaluation","30/09/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2225","215191","07/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","WBU Ad hock CRs-FCS5007317-145211","4-Submitted - Under Evaluation","23/12/2026","16/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2226","376867","01/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","STC - CBU Demands 2025 ? Q4 - IT platform ? Solutions MPA BFM","7-Handover Completed","15/09/2026","16/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2227","205398","29/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","STC - (FC5007619-BFM - Fulfillment - WBU-143216) BFM","7-Handover Completed","20/08/2026","16/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2228","238208","25/06/2026"
"Fajer Alsalloum","Saudi Aramco","Resources Budget Management","6-Lost","01/07/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2229","50000000","30/05/2026"
"Fajer Alsalloum","CBRE","Rebadge MPO Resources","6-Lost","10/08/2026","16/06/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2230","9433435","18/06/2026"
"Fajer Alsalloum","King Salman Energy Park","OP-2025-159159","6-Dropped","09/09/2026","16/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2231","306590","21/06/2026"
"Mohammad Alajlan","Solutions by stc","Manpower 1215","7-Handover Completed","22/07/2026","16/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2232","128832","17/06/2026"
"Mohammad Alajlan","Solutions by stc","Operation Manager - STCS","7-Handover Completed","21/07/2026","16/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2234","333039","17/06/2026"
"Mohammad Alajlan","Solutions by stc","sales specialist","7-Handover Completed","12/07/2026","16/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2235","595642","17/06/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","OP-2026-161998 - Resource Renewal - 1254","7-Handover Completed","26/07/2026","16/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2236","615109","17/06/2026"
"Rawan AlMusayid","Saudi Water Authority","MPO - SWA_cloud team","4-Submitted - Under Evaluation","30/10/2026","17/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2237","4709754","17/06/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-24395 - 1145","7-Handover Completed","19/08/2026","17/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2238","1626529","18/06/2026"
"Bayan AlOlayan","Remat Al-Riyadh Development Company","Operational performance - WO 3","7-Handover Completed","30/06/2026","17/06/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2239","1070506","17/06/2026"
"Bayan AlOlayan","National Center For Government Resources System","MS Renewal WO18","7-Handover Completed","30/06/2026","17/06/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2240","40539259","14/06/2026"
"Fajer Alsalloum","Ministry of Energy","MoE_MPO NOC Services_OP-2026-163919","6-Cancelled","02/07/2026","17/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2241","18768316","01/07/2026"
"Bayan AlOlayan","THIQAH","Thiqah CLM 3 months","4-Submitted - Under Evaluation","29/10/2026","17/06/2026","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2026-2242","1571631","14/06/2026"
"Bayan AlOlayan","SDAIA - National Information Center","quotation for 2 resources","4-Submitted - Under Evaluation","30/09/2026","17/06/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2243","430990","17/06/2026"
"Osayed Shadid","Public Investment Fund","PIF Tahaluf Program ? Manpower Services category","4-Submitted - Under Evaluation","26/11/2026","17/06/2026","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2244","5000000","07/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","BFM Renewal","7-Handover Completed","30/07/2026","17/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2245","2301279","02/07/2026"
"Bayan AlOlayan","Real Estate General Authority","REGA Resources","7-Handover Completed","13/08/2026","17/06/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2246","788375","18/06/2026"
"Osayed Shadid","Public Investment Fund","IT Support","4-Submitted - Under Evaluation","26/10/2026","17/06/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2247","5293984","25/06/2026"
"Rawan AlMusayid","Shared Services Program","1MPO - IT Support Engineer","4-Submitted - Under Evaluation","28/11/2026","18/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2248","249753","22/06/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-24539","7-Handover Completed","13/07/2026","18/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2249","141840","23/06/2026"
"Mohammad Alajlan","Solutions by stc","F&A (GRC) II","7-Handover Completed","21/06/2026","18/06/2026","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2250","260000","18/06/2026"
"Bayan AlOlayan","National Center For Government Resources System","Redevelopment and Rehabilitation Works","4-Submitted - Under Evaluation","30/12/2026","18/06/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2251","74804163","16/07/2026"
"Bayan AlOlayan","SDAIA - National Information Center","(SDAIA)Almoamer proposal","7-Handover Completed","30/06/2026","18/06/2026","Sales & BD 2","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2252","13002176","21/06/2026"
"Fajer Alsalloum","National Water Company","Hajj Contributors Honoring Ceremony","6-Cancelled","09/09/2026","21/06/2026","Sales & BD 1","RFQ","Sell Through solutions","Event Management","Non Etimad","SF-2026-2253","254174","25/06/2026"
"Mohammad Alajlan","Solutions by stc","Principal Consultant-Solution Manpower-1257","7-Handover Completed","02/09/2026","21/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2254","306890","23/06/2026"
"Bayan AlOlayan","Al-Diyar Al-Arabia","CLM 6 agents","2-To Be Qualified","29/10/2026","21/06/2026","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2026-2255","100000","22/06/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","FA to enhance the quality of the observatory?s products and data in labor market fields","4-Submitted - Under Evaluation","31/12/2026","21/06/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2256","2000000","21/06/2026"
"Abdullah Alfawaz","Ministry of Culture","FA for the provision of development and technical support services for the Cultural Academies","6-Lost","23/08/2026","21/06/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2257","1000000","22/06/2026"
"Fajer Alsalloum","Water Transportation and Technology Company","Manpower Services Agreement","4-Submitted - Under Evaluation","31/10/2026","22/06/2026","Sales & BD 1","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2258","0","30/06/2026"
"Raed Hammad","TAWAL","Tawal off shore","4-Submitted - Under Evaluation","30/12/2026","22/06/2026","STC & Sub","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2260","1000000","25/06/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-23517","7-Handover Completed","25/06/2026","22/06/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2261","250000","24/06/2026"
"Rawan AlMusayid","Gulf International Bank Saudi Arabia (GIB-SA)","OP-2026-162705 - ACI Resident Engineer","7-Handover Completed","23/08/2026","22/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2262","370000","29/06/2026"
"Malak AlSuhaim","Ministry of Hajj","Call center","1-Identified","30/10/2026","22/06/2026","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2026-2263","3000000","29/06/2026"
"Khalid AlEnezi","Royal Guard","MS for GRP Oracle","4-Submitted - Under Evaluation","30/10/2026","22/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2264","22857659","22/06/2026"
"Khalid AlEnezi","Initiatives Management Office IMO","FA for Building Capabilities to Implement Artificial Intelligence Use Cases","4-Submitted - Under Evaluation","29/10/2026","22/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2265","23587795","29/06/2026"
"Abdullah Alfawaz","Ministry of Culture","Activation of Consulting and Operational Services to Enable the Core Functions of the University of Arts","4-Submitted - Under Evaluation","29/10/2026","22/06/2026","Sales & BD 2","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2266","11676000","29/06/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","framework Agreement for the Execution of Interior Fit-Out Works for HRDF-phase two","2-To Be Qualified","30/11/2026","22/06/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2267","3000000","12/07/2026"
"Osayed Shadid","King Faisal Specialist Hospital International Holding Co.","RFQ - 4881145 - Providing Maintenance and Support for Avaya Telephone System","6-Lost","02/08/2026","22/06/2026","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2268","12350641","05/07/2026"
"Osayed Shadid","Saudi Post","Renewal of Digital Address Subscription for SPL Branches.","6-Dropped","11/08/2026","23/06/2026","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2269","1000000","02/07/2026"
"Raed Hammad","TAWAL","O&M Opex2 2026 - additional amount","7-Handover Completed","12/07/2026","23/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2271","1470501","24/06/2026"
"Raed Hammad","Cisco Systems, Inc","renewal phase 5 to STC ( Nov 2025 - Apr 2026) additional amount","7-Handover Completed","30/06/2026","23/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2272","5206242","24/06/2026"
"Rawan AlMusayid","Saudi Water Authority","SWA Contact Center","4-Submitted - Under Evaluation","29/11/2026","23/06/2026","Sales & BD 1","RFP","Sell Direct","MPO","Etimad","SF-2026-2273","8442668","19/07/2026"
"Raed Hammad","Cisco Systems, Inc","renewal phase 5 to STC","7-Handover Completed","30/06/2026","23/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2274","15618726","24/06/2026"
"Raed Hammad","TAWAL","Performance & Career Mgmt -  2026","7-Handover Completed","06/08/2026","23/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2275","234455","25/06/2026"
"Khalid AlEnezi","Ministry of Human Resources & Social Development HRSD","Central Customer Service System Development Project ? Phase Two-HRDF","6-Dropped","08/07/2026","23/06/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2276","2000000","08/07/2026"
"Bayan AlOlayan","SDAIA - National Information Center","SDAIA SBM proposal","1-Identified","29/10/2026","23/06/2026","Sales & BD 2","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2277","4000000","23/06/2026"
"Bayan AlOlayan","SDAIA - National Information Center","SDAIA VAS","7-Handover Completed","05/07/2026","23/06/2026","Sales & BD 2","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2278","3569405","23/06/2026"
"Rawan AlMusayid","Ministry of Environment Water and Agriculture","Setup and Operation of the MEWA Office in Riyadh City ? Imam Mohammad Ibn Saud Islamic University","4-Submitted - Under Evaluation","30/11/2026","24/06/2026","Sales & BD 1","RFI","Sell Direct","Facility Management","Non Etimad","SF-2026-2279","0","28/06/2026"
"Osayed Shadid","SAUDI GROUND SERVICES","Application Support & Maintenance","6-Dropped","11/08/2026","24/06/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2280","1000000","30/06/2026"
"Osayed Shadid","Takaful Al-Rajhi","Al Rajhi Takaful - Customer Care Call Center","4-Submitted - Under Evaluation","22/11/2026","24/06/2026","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2026-2281","13349330","27/07/2026"
"Rawan AlMusayid","The Saudi National Bank","Agentic AI Solution for Retail Collections","6-Dropped","13/07/2026","24/06/2026","Sales & BD 1","RFP","Sell Through solutions","SCM","Non Etimad","SF-2026-2282","2000000","09/07/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Quotation OP-2026-163008","7-Handover Completed","20/07/2026","24/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2283","2150691","25/06/2026"
"Osayed Shadid","Ministry of Industry And Mineral Resources","Consulting Support Service - Framework Agreements","4-Submitted - Under Evaluation","08/11/2026","24/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Etimad","SF-2026-2284","3967276","05/07/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-22639","6-Lost","13/08/2026","25/06/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2285","258994","11/08/2026"
"Ali Bin Zeair","Solutions by stc","Cloud MS -3 STCs","7-Handover Completed","30/06/2026","25/06/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2286","7225299","28/06/2026"
"Abdullah Alfawaz","King Saud University","""Operating Incubation Programs at the Business Incubators and Accelerators Center of the Entrepreneurship Institute""","1-Identified","29/10/2026","25/06/2026","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2287","1500000","15/07/2026"
"Fajer Alsalloum","National Water Company","Collection Services","4-Submitted - Under Evaluation","30/09/2026","25/06/2026","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2288","0","28/06/2026"
"Osayed Shadid","King Salman International Airport (KSIA)","KSIA MSI -OP-2026-162081","6-Dropped","19/08/2026","27/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2289","3193303","02/07/2026"
"Khalid AlEnezi","Najran University","M&O of the Laboratories of the College of Engineering","6-Dropped","09/07/2026","28/06/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2290","3000000","06/07/2026"
"Khalid AlEnezi","Tourism Development Fund","Management and Operation of the Unified Contact Center for TDF","6-Lost","16/08/2026","28/06/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2291","2367748","12/07/2026"
"Khalid AlEnezi","Ministry of National Guard","Managed Service project for National Guard","4-Submitted - Under Evaluation","31/12/2026","28/06/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2292","35383983","29/06/2026"
"Khalid AlEnezi","Private Affairs of King Salman bin Abdulaziz","Private Contact Center","1-Identified","24/12/2026","28/06/2026","Sales & BD 1","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2026-2293","3000000","30/06/2026"
"Bayan AlOlayan","SDAIA - National Information Center","treck trak proposal","1-Identified","30/09/2026","28/06/2026","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2026-2294","6510733","29/06/2026"
"Ali Bin Zeair","Pulse by solutions","Pulse Warehouse","7-Handover Completed","30/06/2026","28/06/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2295","265440","29/06/2026"
"Rawan AlMusayid","Digital Government Authority","Managed Technical Operations Services for Digital Transformation Enhancement","4-Submitted - Under Evaluation","25/10/2026","29/06/2026","Sales & BD 1","RFP","Sell Direct","MPO","Etimad","SF-2026-2296","21597639","29/07/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Rest of the amount | Hiring Request | customer: stc","7-Handover Completed","20/08/2026","29/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2297","81747","01/07/2026"
"Osayed Shadid","Saudi Railway Company","Contract Management & Controls Specialist","4-Submitted - Under Evaluation","08/11/2026","29/06/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2298","270373","02/07/2026"
"Mohammad Alajlan","Solutions by stc","ERP Audit Specialists","7-Handover Completed","30/06/2026","29/06/2026","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2299","266464","29/06/2026"
"Mohammad Alajlan","Solutions by stc","cleaner for Dirab office","6-Lost","18/08/2026","29/06/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2300","101053","30/06/2026"
"Fajer Alsalloum","Saudi Aramco","DMM Warehouse May26","7-Handover Completed","30/06/2026","29/06/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2301","205137","28/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Captive Project ITP_1","7-Handover Completed","07/09/2026","30/06/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2302","53359370","13/08/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Infrastructure Enablement MPA - CAM","7-Handover Completed","06/09/2026","30/06/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2303","775044","01/07/2026"
